Language	English	Japanese	Korean	简体中文	繁體中文
sBlinkOffset	Blink Offset	点滅のズレ	점멸의 차이	闪烁偏移	閃爍偏移
sGradation	Gradation	グラデーション	그라데이션	渐变	漸變
sGradTexSpeed	Texture & Speed	テクスチャ & 変化速度	텍스처 & 변화 속도	纹理 & 速度	貼圖 & 速度
sGradColor	Color	色	색	纹理	顏色
sParallaxDepth	Parallax Depth	視差の強さ	시차의 강도	视差深度	視差深度
sFluorescence	Fluorescence	蛍光	형광	荧光	螢光
sParallax	Parallax	視差マップ	시차	视差	視差
sParallaxTips	You can set the parallax.	視差マップに関する設定ができます	시차에 대한 설정을 할 수 있습니다	您可以在此设置视差。	你可以設定視差。
sParallaxR	Parallax (R)	Parallax (R)	시차 (R)	视差 (R)	視差 (R)
sParallaxOffset	Offset	オフセット	오프셋	偏移	偏移
sPOM	[high-load] POM	[高負荷] POM	[과부하] POM	[高负载] POM	[高負荷] POM
sDistanceFade	Distance Fade	距離フェード	거리 페이드	距离淡化	距離淡化
sDistanceFadeTips	You can set the color change depending on the distance.	距離に応じて色の変更ができます	거리에 따라 색상을 변경할 수 있습니다	您可以在此设置整体色调跟随距离的变化。	你可以根據距離來設定顏色的變化。
sStartDistance	Start Distance	開始距離	시작 거리	开始距离	開始距離
sEndDistance	End Distance	終了距離	종료 거리	结束距离	結束距離
sAudioLink	AudioLink	AudioLink	AudioLink	AudioLink	AudioLink
sAudioLinkTips	This setting allows you to change the appearance of a material through the AudioLink system.	AudioLinkシステムに合わせてマテリアルを変化させられます	AudioLink 시스템에 의해 재료의 외형을 변화시키는 설정입니다.	根据 AudioLink 系统更改材质外观时使用的设置。	此設定會根據 AudioLink 系統更改材質的外觀。
sAudioLinkUVMode	UV Mode	UV Mode	UV Mode	UV 模式	UV 模式
sAudioLinkUVModeNone	None	None	None	None	None
sAudioLinkUVModeRim	Rim	Rim	Rim	Rim	Rim
sAudioLinkUVModeUV	UV	UV	UV	UV	UV
sAudioLinkUVModeMask	Mask	マスク	마스크	蒙版	遮罩
sAudioLinkUVModePosition	Position	座標	좌표	坐标	座標
sAudioLinkMaskRGB	RGB = Delay / Band / Strength	RGB = 遅延 / 帯域 / 強度	RGB = Delay / Band / Strength	RGB = 延迟 / 频宽 / 强度	RGB = Delay / Band / Strength
sAudioLinkMaskRGBSpectrum	RGB = Volume / Band / Strength	RGB = 音量 / 帯域 / 強度	RGB = Volume / Band / Strength	RGB = 音量 / 频宽 / 强度	RGB = Volume / Band / Strength
sAudioLinkBand	Band	帯域	Band	频段	Band
sAudioLinkBandBass	Bass	Bass	Bass	Bass	Bass
sAudioLinkBandLowMid	Low Mid	Low Mid	Low Mid	Low Mid	Low Mid
sAudioLinkBandHighMid	High Mid	High Mid	High Mid	High Mid	High Mid
sAudioLinkBandTreble	Treble	Treble	Treble	Treble	Treble
sAudioLinkStartPosition	Start Position	開始点	원점	初始点	初始點
sAudioLinkMovingVector	Moving Vector	移動方向	이동 방향	运动方向	運動方向
sAudioLinkNormalStrength	Normal Strength	法線方向の強度	법선 방향의 강도	法线强度	法線強度
sAudioLinkAsLocal	As Local	ローカル化	로컬	作为本地	作為本地
sAudioLinkLocalMap	Local Map	ローカルマップ	Local Map	本地 Map	Local Map
sAudioLinkLocalMapBPM	BPM	BPM	BPM	BPM	BPM
sAudioLinkLocalMapNotes	Notes	拍数	Notes	Notes	Notes
sAudioLinkDefaultValue	Default value for no AudioLink	AudioLink無効時の初期値	AudioLink 비활성화 시 기본값	没有使用 AudioLink 时的默认值	無 AudioLink 的默認值
sDissolve	Dissolve	Dissolve	Dissolve	溶解效果	溶解效果設定（Dissolve）
sDissolveTips	Settings for dissolving a material	マテリアルが溶けるような表現ができます	머티리얼이 녹는듯한 표현을 할 수 있습니다	设置材质的溶解效果	設定材質的溶解效果
sDissolveWarnOpaque	If you want to use Dissolve, you need to change the "Rendering Mode" to Cutout or Transparent.	Dissolveを使う場合は"描画モード"をカットアウトか半透明に変更する必要があります。	Dissolve를 사용하는 경우 "렌더링 모드"를 컷아웃이나 투명한으로 변경해야 합니다	如果要使用溶解，则需要将“渲染模式”更改为镂空或透明。	如果要使用溶解效果，請將「渲染模式」更改為鏤空或透明。
sDissolveMode	Dissolve Mode	Dissolve Mode	Dissolve Mode	Dissolve Mode(溶解模式)	溶解模式（Dissolve Mode）
sDissolveModeNone	None	None	None	None	None
sDissolveModeAlpha	Alpha	透明度	Alpha	Alpha	Alpha
sDissolveModeUV	UV	UV	UV	UV	UV
sDissolveModePosition	Position	座標	좌표	坐标	座標
sDissolveShape	Shape	形状	모양	形状	形狀
sDissolveShapePoint	Point	点	점	点	點
sDissolveShapeLine	Line	線	선	线	線
sIDMask	ID Mask	ID Mask	ID Mask	ID Mask	ID Mask
sUDIMDiscard	UV Tile Discard	UV Tile Discard	UV Tile Discard	UV Tile Discard	UV Tile Discard
sUDIMDiscardUV	Discard UV	Discard UV	Discard UV	Discard UV	Discard UV
sUDIMDiscardMode	Discard Mode	削除モード	무시 모드	丢弃模式	丟棄模式
sEncryption	Encryption	暗号化	암호화	加密	加密
sEncryptionTips	Decrypt the mesh from 4 keys.	4つのキーによってメッシュを復号化します	4개의 키를 사용하여 메쉬를 복호화합니다	用 4 个密钥解密该网格	用 4 個密鑰解密該網格
sIgnoreEncryption	Ignore Encryption	Ignore Encryption	Ignore Encryption	Ignore Encryption	Ignore Encryption
sKeys	Keys	Keys	Keys	Keys	Keys
sNormalMapReflection	Normal Map & Reflection	ノーマルマップ・光沢設定	노멀 맵 광택 설정	法线贴图 & 反射设置	法線貼圖 & 反射設定
sNormalMapSetting	Normal Map	ノーマルマップ設定	노멀 맵 설정	NormalMap 设置      (法线贴图)	法線貼圖設定
sNormalMapTips	You can set the normal map.	ノーマルマップの設定ができます	노멀 맵을 설정할 수 있습니다	您可以在此设置法线贴图。	你可以設定法線貼圖。
sNormalMap	Normal Map	ノーマルマップ	노멀 맵	法线贴图	法線貼圖
sNormalMap2nd	Normal Map 2nd	ノーマルマップ2nd	노멀 맵 2nd	第二法线贴图	法線貼圖 2nd
sNormalRGB	Normal (RGB)	ノーマル (RGB)	노멀 (RGB)	法线 (RGB)	法線（RGB）
sAnisotropy	Anisotropy	異方性反射	애니소트로픽	各向异性反射	各向異性反射
sTangentWidth	Tangent Width	タンジェント方向の幅	Tangent Width	Tangent Width	Tangent Width
sBitangentWidth	Bitangent Width	バイタンジェント方向の幅	Bitangent Width	Bitangent Width	Bitangent Width
sReflectionsSetting	Reflections	光沢設定	광택 설정	Refection 设置      (反射效果)	反射效果設定（Refection）
sReflectionsTips	You can set the Reflections.	光沢に関する設定ができます	광택 관한 설정을 할 수 있습니다	设置材质的反射效果。	你可以設定反射效果。
sReflection	Reflection	反射	반사	反射效果	反射效果
sSmoothness	Smoothness	滑らかさ	부드러움	平滑度	平滑度
sSmoothnessR	Smoothness (R)	滑らかさ (R)	부드러움 (R)	平滑度 (R)	平滑度（R）
sMetallic	Metallic	金属度	금속도	金属度	金屬程度
sMetallicR	Metallic (R)	金属度 (R)	금속도 (R)	金属度 (R)	金屬程度（R）
sReflectance	Reflectance	反射率	반사율	反射率	反射率
sSpecularMode	Specular Mode	光沢のタイプ	광택 타입	反射模式	反射模式
sSpecularNone	None	無効	무효	无	無
sSpecularReal	Realistic	リアル	리얼	现实	現實
sSpecularToon	Toon	トゥーン	툰	卡通	卡通
sMultiLightSpecular	Multi Light Specular	複数ライトから光沢を生成	복수 라이트에서 광택 생성	从多个光源生成反射	從多個光源生成反射
sApplyReflection	Environment Reflections	環境光の反射	환경광 반사	环境反射	環境反射
sMatCapSetting	MatCap	マットキャップ設定	매트 캡 설정	MatCap 设置      (材质捕获)	MatCap 設定
sMatCap	MatCap	マットキャップ	매트 캡	MatCap	MatCap
sMatCap2nd	MatCap 2nd	マットキャップ2nd	매트 캡 2nd	第二 MatCap	MatCap 2nd
sBlendUV1	Blend UV1	UV1を合成	Blend UV1	Blend UV1	Blend UV1
sMatCapZRotCancel	Z-axis rotation cancellation	Z軸回転キャンセル	Z축 회전 취소	Z轴旋转取消	Z 軸旋轉取消
sFixPerspective	Fix Perspective	パース補正	Fix Perspective	透视校正	透視校正
sHelpMatCapBlending	Turn off "Enable Lighting" in multiply mode.	乗算モードでは"ライティングを適用"を0にしてください	곱셈 모드에서는 "라이팅을 적용"을 0으로 해 주세요	关闭 Multiply 模式下的“启用照明”。	關閉 Multiply 模式下的「啟用照明」。
sMatCapCustomNormal	Custom normal map	カスタムノーマルマップ	커스텀 노멀 맵	自定义法线贴图	自定義法線貼圖
sRimLightSetting	Rim Light	リムライト設定	림 라이트 설정	Rim Light 设置      (轮廓光)	輪廓光效果設定（Rim Light）
sRimLight	Rim Light	リムライト	림 라이트	轮廓光	輪廓光
sFresnelPower	Fresnel Power	リムライトの細さ	림 라이트의 벌금	菲涅尔折射率	菲涅爾功率
sRimLightDirection	Light direction strength	ライト方向の影響度	라이트 방향의 영향도	光线方向影响	光線方向影響
sRimDirectionRange	Direct light width	直接光の幅	직접 빛의 폭	直射光宽	直射光寬
sRimIndirectionRange	Indirect light width	間接光の幅	간접 조명의 폭	间接光宽	間接光寬
sGlitterSetting	Glitter	ラメ設定	Glitter 설정	Glitter 设置      (亮片效果)	亮粉效果設定（Glitter）
sGlitter	Glitter	ラメ	Glitter	亮片效果	亮粉效果
sParticleSize	Particle Size	パーティクルサイズ	파티클 사이즈	粒子大小	粒子大小
sContrast	Contrast	コントラスト	콘트라스트	对比度	對比度
sPostContrast	Post Contrast	コントラスト（後処理）	콘트라스트(후처리)	对比度（后处理）	對比度（後處理）
sAngleLimit	Angle limit	角度制限	각도 제한	角度限制	角度限制
sColorRandomness	Color Randomness	ランダムカラー	랜덤 컬러	随机颜色	隨機顏色
sGemSetting	Gem	宝石設定	보석 설정	宝石设置	寶石設定
sGem	Gem	宝石	보석	宝石	寶石
sChromaticAberration	Chromatic Aberration	色収差	색수차	色差	色差
sEnvironmentColor	Environment Color	環境光の色	환경광 색상	环境光颜色	環境光色
sParticleLoop	Particle Loop	パーティクルループ数	파티클 루프 수	粒子循环数	粒子循環數
sStencilSetting	Stencil	ステンシル設定	Stencil 설정	Stencil 设置	Stencil 設定
sStencilTips	You can set the Stencil	ステンシル(眉毛を髪の上に表示するなど)の設定ができます	Stencil (눈썹을 머리 위에 표시하는 등)을 설정할 수 있습니다	您可以在此配置详细的 Stencil 设置。	你可以配置詳細的 Stencil 設定。
sAdvanced	Advanced	拡張設定	확장 설정	扩展设置	進階設定
sRenderingSetting	Rendering	レンダリング設定	렌더링 설정	渲染设置	渲染設定
sRenderingTips	You can configure detailed rendering settings.	細かいレンダリングの設定ができます。	세세한 렌더링 설정을 할 수 있습니다.	您可以在此配置详细的渲染设置。	你可以配置詳細的渲染設定。
sZClip	ZClip	ZClip	ZClip	ZClip   (深度剪裁)	ZClip
sZWrite	ZWrite	ZWrite	ZWrite	ZWrite   (写入深度)	ZWrite
sZTest	ZTest	ZTest	ZTest	ZTest   (遮挡方式)	ZTest
sOffsetFactor	Offset Factor	Offset Factor	Offset Factor	Offset Factor	Offset Factor
sOffsetUnits	Offset Units	Offset Units	Offset Units	Offset Units	Offset Units
sColorMask	Color Mask	Color Mask	Color Mask	Color Mask   (色彩通道)	Color Mask
sAlphaToMask	AlphaToMask	AlphaToMask	AlphaToMask	AlphaToMask	AlphaToMask
sForward	Forward	Forward	Forward	Forward	Forward
sForwardAdd	ForwardAdd	ForwardAdd	ForwardAdd	ForwardAdd	ForwardAdd
sSrcBlendRGB	SrcBlend RGB	SrcBlend RGB	SrcBlend RGB	SrcBlend RGB	SrcBlend RGB
sDstBlendRGB	DstBlend RGB	DstBlend RGB	DstBlend RGB	DstBlend RGB	DstBlend RGB
sSrcBlendAlpha	SrcBlend Alpha	SrcBlend Alpha	SrcBlend Alpha	SrcBlend Alpha	SrcBlend Alpha
sDstBlendAlpha	DstBlend Alpha	DstBlend Alpha	DstBlend Alpha	DstBlend Alpha	DstBlend Alpha
sBlendOpRGB	BlendOp RGB	BlendOp RGB	BlendOp RGB	BlendOp RGB	BlendOp RGB
sBlendOpAlpha	BlendOp Alpha	BlendOp Alpha	BlendOp Alpha	BlendOp Alpha	BlendOp Alpha
sRenderingReset	Reset Rendering Properties	レンダリング設定を初期化	렌더링 설정을 초기화	重置渲染设置	重置渲染設定
sLightBakeSetting	Light Bake	ライトベイク設定	Light Bake	光照烘培设置	光照烘培設定
sOptimization	Optimization	最適化	최적화	优化	優化
sOptimizationTips	You can optimize the material to reduce the load.	マテリアルを最適化して負荷を低減できます	머티리얼을최적화하여부하를저감할수있습니다	您可以在此对材质进行优化，以减少系统负荷。	你可以對材質進行優化，以減少負荷。
sCustomProperties	Custom Properties	カスタムプロパティ	커스텀 프로퍼티	自定义属性	自定義屬性
sCustomPropertiesTips	Displays the properties added by the user.	ユーザーが追加したプロパティが表示されます	사용자가 추가한 속성이 표시됩니다	显示由用户添加的属性	顯示用戶添加的屬性
sBake	Bake	焼き込み	굽기	烘培	烘培
sBakeAll	Bake all layer	全て焼き込み	모든 굽기	烘培并合并所有主色	烘培所有層
sBake1st	Bake Color Shift	色替えを焼き込み	색상 기준을 굽기	烘培第一层主色	烘培主色
sBake2nd	Bake 2nd Layer	レイヤー2を焼き込み	레이어 2를 굽기	烘培第二层主色	烘培主色 2nd
sBake3rd	Bake 3rd layer	レイヤー3を焼き込み	레이어 3을 굽기	烘培第三层主色	烘焙主色 3rd
sBakeAlphamask	Bake Alphamask	アルファマスクを焼き込み	알파 마스크를 굽기	烘焙 Alpha 蒙版	烘焙 Alpha 遮罩
sSelectAlphamask	Select Alphamask	アルファマスクを選択してください	알파 마스크를 선택하십시오	选择 Alpha 蒙版	選擇 Alpha 遮罩
sRemoveUnused	Remove unused textures	未使用のテクスチャを外す	미사용 텍스처 해제	移除未使用的纹理	移除未使用的貼圖
sConvertLite	Convert to lilToonLite	lilToonLiteに変換	lilToonLite로 변환	转换为 lilToonLite	轉換為 lilToonLite
sConvertMulti	Convert to lilToonMulti	lilToonMultiに変換	lilToonMulti로 변환	转换为 lilToonMulti	轉換為 lilToonMulti
sConvertMToon	Convert to MToon (VRM)	MToon(VRM)に変換	MToon (VRM)로 변환	转换为 MToon (VRM)	轉換為 MToon (VRM)
sOptimizeForEvents	Optimize for submission to the event	イベント入稿用に最適化	이벤트에 대한 제도 최적화	为提交事件进行优化	優化成適合投稿給活動的格式
sYes	Yes	はい	Yes	是	是
sNo	No	いいえ	No	否	否
sOK	OK	OK	OK	好	好的
sCancel	Cancel	キャンセル	Cancel	取消	取消
sNone	None	None	None	None	None
sComplete	Complete!	完了しました。	완료 되었습니다.	完成！	完成！
sCopy	Copy	コピー	복사	复制	複製
sPaste	Paste	貼り付け	붙여넣기	粘贴	貼上
sPasteWithTexture	Paste (with texture)	貼り付け（テクスチャを含む）	붙여넣기 (with texture)	粘贴（包括纹理）	貼上（包含貼圖）
sReset	Reset	初期化	초기화	重置	重置
sOpenManual	Open manual	マニュアルを表示	매뉴얼 표시	打开手册	打開手冊
sFixNow	Fix Now	自動修正	자동 수정	自动修复	自動修改
sDialogResetUV	Reset UV Setting	UV設定の初期化	UV 설정 초기화	重置 UV 设置	重置 UV 設定
sDialogResetUVMes	Are you sure you want to reset UV setting?	UV設定を初期化しますか?	UV 설정을 초기화 하시겠습니까?	您确定要重置 UV 设置吗？	你確定要重置 UV 設定嗎？
sDialogCannotBake	Cannot run a bake	焼き込みを実行できません	버닝을 실행할 수 없습니다	目前不能进行烘培	不能運行烘培
sDialogNoNeedBake	No need to run a bake	焼き込む必要はありません	구울 필요가 없습니다	目前不需要进行烘培	不需要運行烘培
sDialogSetMainTex	You need to set texture to Main Color.	メインカラーにテクスチャを設定する必要があります。	메인 컬러에 질감을 설정해야합니다.	您需要将纹理设置为主色。	你需要將貼圖設定為主色。
sDialogNoChange	You are not changing the color.	色を変更していません。	색상을 변경하지 않습니다.	您没有调节主色，不需要进行烘焙。	你沒有改變顏色。
sDialogNotUse2nd	You are not using the 2nd layer.	メインカラー2ndを利用していません。	메인 컬러 2nd를 이용하지 않습니다.	您没有使用第二层主色。	你沒有使用主色 2nd。
sDialogNotUse3rd	You are not using the 3rd layer.	メインカラー3rdを利用していません。	메인 컬러 3rd를 이용하지 않습니다.	您没有使用第三层主色。	你沒有使用主色 3rd。
sDialogNotUseAll	You are not changing the color and not using layers.	色の変更とメインカラー2nd・3rdを使用していません。	색상 변경과 기본 색상 2nd · 3rd를 사용하지 않습니다.	您既没有更改主色，也没有使用图层。	你沒有改變顏色，也沒有使用圖層。
sDialogRunBake	Run bake?	焼き込みを実行しますか?	굽기를 실행 하시겠습니까?	进行烘培？	運行烘培？
sDialogBakeMain	Do you want to bake main texture?	メインカラーをベイクしますか?	메인 컬러를 구워 하시겠습니까?	您确定要烘培主纹理吗？	你要烘培主貼圖嗎？
sDialogBakeShadow	Do you want to bake shadow texture?	影テクスチャをベイクしますか?	그림자 텍스처를 구워 하시겠습니까?	您确定要烘培阴影纹理吗？	你要烘培陰影貼圖嗎？
sDialogBakeMatCap	Do you want to bake matcap?	マットキャップをベイクしますか?	매트 캡을 구워 하시겠습니까?	您确定要烘培 matcap 吗？	你要烘培 matcap 嗎？
sDialogBakeTriMask	Do you want to bake TriMask (Mask of Matcap / Rim / Emission)?	TriMask(マットキャップ、リムライト、発光のマスク)をベイクしますか?	TriMask (매트 모자, 림 라이트 발광 마스크)를 구워 하시겠습니까?	您确定要烘培这三个蒙版（MatCap/Rim/发光）吗？	你要烘培這三個遮罩（MatCap/Rim/自發光）嗎？
sDialogBakeOutline	Do you want to bake outline texture?	輪郭線の色のテクスチャをベイクしますか?	윤곽선 색의 질감을 구워 하시겠습니까?	您确定要烘培轮廓纹理吗？	你要烘培輪廓貼圖嗎？
sDialogGifToAtlas	Convert Gif to Atlas	Gifをアトラス化	Gif를 아틀라스 화	将 Gif 转换成图集	將 Gif 轉換成 Atlas
sDialogTexPow2	Do you want to adjust the texture resolution to power of 2?	テクスチャ全体の解像度を2の累乗に合わせますか?	텍스처 전체 해상도를 2의 거듭 제곱에 맞게 하시겠습니까?	您要把纹理分辨率调整为 2 的 n 次方吗？	你要將貼圖解析度尺寸調整成 2 的 n 次方嗎？
sDialogImportOldVer	The package you are importing is an older version than the already imported lilToon. Do you want to continue?	インポートしようとしているパッケージは既にインポートされているlilToonよりも古いバージョンです。続行しますか？	Import하고 있는 패키지는 이미 Import된 lilToon보다 오래된 버전입니다.속행할까요?	您要导入的 lilToon 版本早于已导入的 lilToon 版本。是否继续？	你要導入的包版本早於已導入的 lilToon 版本。是否繼續？
sDialogImportPackage	The UPM version of lilToon has already been imported. Do you want to continue importing the unitypackage version? (This may cause script errors, etc.)	既にUPM版lilToonがインポートされています。unitypackage版のインポートを続行しますか？（これはスクリプトエラー等を引き起こす可能性があります。）	이미 UPM 버전 lilToon이 임포트 되어 있습니다.unity package 버전 가져오기를 계속하시겠습니까?(이것은 스크립트 에러등을 일으킬 가능성이 있습니다.)	已经导入了UPM版lilToon。是否继续导入unitypackage版本？（可能会导致脚本错误等一系列问题。）	已經導入了 UPM 版 lilToon。是否繼續導入 unitypackage 版？（這可能會導致腳本錯誤等。）
sWarnOptimiseMeshData	Due to a bug in Unity, even necessary vertex data may be deleted. If the problem occurs, please turn off "Project Settings/Player/Optimize Mesh Data".	Unityのバグにより必要な頂点データまで削除されることがあります。不具合が発生する場合は"Project Settings/Player/Optimize Mesh Data"をオフにしてください。	Unity 버그로 인해 필요한 정점 데이터까지 삭제될 수 있습니다.오류가 발생할 경우 "Project Settings/Player/Optimize Mesh Data"를 꺼주세요.	Unity可能会错误删除所需的顶点数据。发生问题时，请关闭“Project Setting/Player/Optimize Mesh Data” 选项。	Unity 可能會錯誤刪除所需的頂點資料。 發生問題時，請關閉「Project Setting/Player/Optimize Mesh Data」。
sPresets	Presets	プリセット	프리셋	预设	預設
sPresetsNotAvailable	Presets are not available for this shader.	プリセットはこのシェーダーでは利用できません。	사전 설정이 쉐이더를 사용할 수 없습니다.	预设在此着色器中不可用。	預設在此著色器中不可用。
sPresetIsMaterial	Currently selected is not a Material.	マテリアル以外が選択されています。	머티리얼 이외를 선택하고 있습니다.	当前选择的不是材质。	當前選擇的不是材質。
sPresetRefresh	Refresh List	リストを更新	목록을 업데이트	刷新列表	刷新列表
sPresetSave	Save Preset	プリセットを保存	프리셋 저장	保存预设	保存預設
sPresetCategory	Category	カテゴリー	카테고리	类别	類別
sPresetCategorySkin	Skin	肌	피부	皮肤	皮膚
sPresetCategoryHair	Hair	髪	머리	头发	頭髮
sPresetCategoryCloth	Cloth	布	천	布料	布質
sPresetCategoryNature	Nature	自然物	자연물	自然	自然
sPresetCategoryInorganic	Inorganic	無機物	무기물	无机物	無機物
sPresetCategoryEffect	Effect	エフェクト	효과	效果	效果
sPresetCategoryOther	Other	その他	기타	其他	其他
sPresetName	Preset Name	プリセット名	프리셋 이름	预设名称	預設名稱
sPresetSaveTarget	Save target	保存対象	저장 대상	保存目标	保存目標
sPresetTexture	Save target texture	保存対象のテクスチャ	저장 대상의 질감	保存目标纹理	保存目標貼圖
sPresetShader	Shader	シェーダー	Shader	着色器	著色器
sPresetQueue	Render Queue	Render Queue	Render Queue	Render Queue	Render Queue
sPresetStencil	Stencil	ステンシル	Stencil	Stencil	Stencil
sPresetMainTex2Outline	Apply main texture to outline	メインテクスチャを輪郭線に適用	메인 텍스처를 윤곽선에 적용	将主纹理应用于轮廓	將主貼圖應用於輪廓
sPresetMain	Main Color	メインカラー	메인 컬러	主色	主色
sPresetMain2	Main Color 2nd	メインカラー2nd	메인 컬러 2nd	第二主色	主色 2nd
sPresetMain2Mask	Main Color 2nd Mask	メインカラー2ndマスク	메인 컬러 2nd 마스크	第二主色蒙版	主色 2nd 遮罩
sPresetMain3	Main Color 3rd	メインカラー3rd	메인 컬러 3rd	第三主色	主色 3rd
sPresetMain3Mask	Main Color 3rd Mask	メインカラー3rdマスク	메인 컬러 3rd 마스크	第三主色蒙版	主色 3rd 遮罩
sPresetShadowBorder	Shadow AO	影AO	그림자 AO	阴影 AO	陰影 AO
sPresetShadowBlur	Shadow Blur	影ぼかし	그림자 흐림	阴影模糊	陰影模糊
sPresetShadowStrength	Shadow Mask	影マスク	그림자 마스크	阴影蒙版	陰影遮罩
sPresetShadowColor	Shadow Color	影色	그림자 색	阴影颜色	陰影顏色
sPresetShadowColor2	Shadow Color 2nd	影色2	그림자 색 2	阴影颜色 2	陰影顏色 2
sPresetEmissionColor	Emission Color	発光色	발광색	发光颜色	自發光顏色
sPresetEmissionMask	Emission Mask	発光マスク	발광 마스크	发光蒙版	自發光遮罩
sPresetEmissionGrad	Emission Grad	発光グラデーション	발광 그라데이션	发光渐变	自發光漸變
sPresetEmission2Color	Emission 2nd Color	発光2nd色	발광 2nd 색상	第二发光颜色	自發光 2nd 顏色
sPresetEmission2Mask	Emission 2nd Mask	発光2ndマスク	발광 2nd 마스크	第二发光蒙版	自發光 2nd 遮罩
sPresetEmission2Grad	Emission 2nd Grad	発光2ndグラデーション	발광 2nd 그라데이션	第二发光渐变	自發光 2nd 漸變
sPresetNormal	Normal Map	ノーマルマップ	노멀 맵	法线贴图	法線貼圖
sPresetNormal2	Normal Map 2nd	ノーマルマップ2nd	노멀 맵 2nd	法线贴图2nd	法線貼圖 2nd
sPresetNormal2Mask	Normal Map 2nd Mask	ノーマルマップ2ndマスク	노멀 맵 2nd 마스크	第二法线贴图蒙版	法線貼圖 2nd 遮罩
sPresetReflectionSmoothness	Smoothness	滑らかさ	부드러움	平滑度	平滑度
sPresetReflectionMetallic	Metallic	金属度	금속도	金属度	金屬程度
sPresetReflectionColor	Reflection Color	反射色	반사 색상	反射颜色	反射顏色
sPresetMatcap	MatCap	マットキャップ	매트 캡	MatCap	MatCap
sPresetMatcapMask	MatCap Mask	マットキャップマスク	매트 캡 마스크	MatCap 蒙版	MatCap 遮罩
sPresetRim	Rim Color	リムライト色	림 라이트 색상	Rim 颜色	Rim Color
sPresetParallax	Parallax	視差マップ	시차 맵	视差	視差
sPresetOutlineTex	Outline Texture	輪郭線カラー	윤곽선 색상	轮廓纹理	輪廓貼圖
sPresetOutlineWidth	Outline Width	輪郭線の幅	윤곽선의 폭	轮廓宽度	輪廓寬度
sPresetFurNormal	Fur Normal	ファーノーマルマップ	퍼 노멀 맵	毛发法线	毛髮法線
sPresetFurNoise	Fur Noise	ファーノイズ	파 노이즈	毛发噪声	毛髮噪聲
sPresetFurMask	Fur Mask	ファーマスク	퍼 마스크	毛发蒙版	毛髮遮罩
sShaderSetting	Shader Setting (for all materials)	シェーダー設定 (全マテリアル共通)	쉐이더 설정 (전체 재료 공통)	着色器设置（用于所有材质）	著色器設定（用於所有材質）
sHelpShaderSetting	Features turned off here will be removed from the shader. By turning off unused features, you can reduce the size of your avatar while also reducing the load.	ここでオフにした機能はシェーダーから除去されます。不要な機能をオフにすることでアバターの容量を削減しつつ、負荷も抑えることができます。	여기에 끈 기능은 쉐이더에서 제거됩니다. 불필요한 기능을 해제하여 아바타의 용량을 줄이면서 부하도 줄일 수 있습니다.	此处关闭的功能将从着色器中删除。通过关闭未使用的功能，可以减少你的 Avatar 的大小，同时还能减少负载。	此處關閉的功能將從著色器中刪除。通過關閉不使用的功能，你可以減少你的 Avatar 的大小，同時也能減少負載。​​
sSettingLock	Lock	ロック	Lock	锁定	鎖定
sShaderSettingOptimizeInTestBuild	Optimize in test build	テストビルドでも最適化を行う	테스트 빌드로 최적화	为测试构建优化	在測試構建中優化
sShaderSettingOptimizeInEditor	[Debug] Optimize in editor	[Debug] エディタ上で最適化	[Debug] 에디터로 최적화	[Debug] 为编辑器优化	[Debug] 在編輯器中優化
sSettingClippingCanceller	Distance Clipping Canceller	距離クリッピングキャンセラー	거리 클리핑 취소 기	距离裁剪消除器	距離剪裁取消器
sSettingTexOutlineColor	Outline Color Texture	輪郭線色テクスチャ	윤곽선 색상 질감	描边颜色纹理	輪廓顏色貼圖
sSettingDefaultValue	Default Value (used for "Fix Lighting" and lighting presets)	初期値 (Fix Lightingやライティングプリセットに使用)	초기값 (Fix Lighting이나 라이팅 프리셋에 사용)	初始值 (用于“Fix Lighting”以及照明预设)	初始值（用於 Fix Lighting 和照明預設）
sSettingBuildSizeOptimization	Build size optimization (for all materials)	ビルドサイズの最適化 (全マテリアル共通)	빌드 사이즈 최적화 (전체 재료 공통)	优化构建大小（用于所有材质）	優化構建大小（用於所有材質）
sSettingApplyShadowFA	Enable shadow in ForwardAdd	ForwardAddパスで影を有効化	ForwardAdd로 그림자 활성화	通过 ForwardAdd 启用阴影	通過 ForwardAdd 啟用陰影
sSettingUseForwardAdd	Use ForwardAdd	ForwardAddパスを使用	ForwardAdd 사용	使用ForwardAdd	使用 ForwardAdd
sSettingUseForwardAddShadow	Receive shadow in ForwardAdd	ForwardAddパスで影を受け取り	ForwardAdd 패스로 그림자를 받아	在 ForwardAdd 路径中接收阴影	在 ForwardAdd 路徑中接收陰影
sSettingUseVertexLight	Use vertex light	頂点ライトを使用	꼭지점 라이트 사용	使用顶点灯	使用頂點燈
sSettingUseLightmap	Use lightmap	ライトマップを使用	라이트 맵 사용	使用光照贴图	使用光照貼圖
sManualURL	https://lilxyzw.github.io/lilToon/#/en-us/	https://lilxyzw.github.io/lilToon/#/ja-jp/	https://lilxyzw.github.io/lilToon/#/en-us/	https://lilxyzw.github.io/lilToon/#/en-us/	https://lilxyzw.github.io/lilToon/#/en-us/
sAnchorBaseSetting	base/base	base/base	base/base	base/base	base/base
sAnchorLighting	base/lighting	base/lighting	base/lighting	base/lighting	base/lighting
sAnchorUVSetting	base/uv	base/uv	base/uv	base/uv	base/uv
