Language	English	Japanese	Korean	Chinese Simplified	Chinese Traditional
sParticleLoop	Particle Loop	パーティクルループ数	파티클 루프 수	粒子循环数	粒子循環數
sStencilSetting	Stencil	ステンシル設定	Stencil 설정	Stencil设置	Stencil設置
sStencilTips	You can set the Stencil	ステンシル(眉毛を髪の上に表示するなど)の設定ができます	Stencil (눈썹을 머리 위에 표시하는 등)을 설정할 수 있습니다	你可以配置详细的Stencil设置。	你可以配置詳細的Stencil設置。
sAdvanced	Advanced	拡張設定	확장 설정	扩展设置	擴展設置
sRenderingSetting	Rendering	レンダリング設定	렌더링 설정	渲染设置	渲染設置
sRenderingTips	You can configure detailed rendering settings.	細かいレンダリングの設定ができます。	세세한 렌더링 설정을 할 수 있습니다.	你可以配置详细的渲染设置。	你可以配置詳細的渲染設置。
sZClip	ZClip	ZClip	ZClip	ZClip	ZClip
sZWrite	ZWrite	ZWrite	ZWrite	ZWrite	ZWrite
sZTest	ZTest	ZTest	ZTest	ZTest	ZTest
sOffsetFactor	Offset Factor	Offset Factor	Offset Factor	Offset Factor	Offset Factor
sOffsetUnits	Offset Units	Offset Units	Offset Units	Offset Units	Offset Units
sColorMask	Color Mask	Color Mask	Color Mask	Color Mask	Color Mask
sAlphaToMask	AlphaToMask	AlphaToMask	AlphaToMask	AlphaToMask	AlphaToMask
sForward	Forward	Forward	Forward	Forward	Forward
sForwardAdd	ForwardAdd	ForwardAdd	ForwardAdd	ForwardAdd	ForwardAdd
sSrcBlendRGB	SrcBlend RGB	SrcBlend RGB	SrcBlend RGB	SrcBlend RGB	SrcBlend RGB
sDstBlendRGB	DstBlend RGB	DstBlend RGB	DstBlend RGB	DstBlend RGB	DstBlend RGB
sSrcBlendAlpha	SrcBlend Alpha	SrcBlend Alpha	SrcBlend Alpha	SrcBlend Alpha	SrcBlend Alpha
sDstBlendAlpha	DstBlend Alpha	DstBlend Alpha	DstBlend Alpha	DstBlend Alpha	DstBlend Alpha
sBlendOpRGB	BlendOp RGB	BlendOp RGB	BlendOp RGB	BlendOp RGB	BlendOp RGB
sBlendOpAlpha	BlendOp Alpha	BlendOp Alpha	BlendOp Alpha	BlendOp Alpha	BlendOp Alpha
sRenderingReset	Reset Rendering Properties	レンダリング設定を初期化	렌더링 설정을 초기화	重置渲染设置	重置渲染設置
sOptimization	Optimization	最適化	최적화	优化	優化
sOptimizationTips	You can optimize the material to reduce the load.	マテリアルを最適化して負荷を低減できます	머티리얼을최적화하여부하를저감할수있습니다	你可以对材料进行优化，以减少负荷。	你可以對材料進行優化，以減少負荷。
sCustomProperties	Custom Properties	カスタムプロパティ	커스텀 프로퍼티	自定义属性	自定義屬性
sCustomPropertiesTips	Displays the properties added by the user.	ユーザーが追加したプロパティが表示されます	사용자가 추가한 속성이 표시됩니다	显示用户添加的属性	顯示用戶添加的屬性
sBake	Bake	焼き込み	굽기	烘烤	烘烤
sBakeAll	Bake all layer	全て焼き込み	모든 굽기	烘烤所有层	烘烤所有層
sBake1st	Bake Color Shift	色替えを焼き込み	색상 기준을 굽기	烘烤颜色转移	烘烤顏色轉移
sBake2nd	Bake 2nd Layer	レイヤー2を焼き込み	레이어 2를 굽기	烘烤第二层	烘烤第二層
sBake3rd	Bake 3rd layer	レイヤー3を焼き込み	레이어 3을 굽기	烘焙第三层	烘焙第三層
sBakeAlphamask	Bake Alphamask	アルファマスクを焼き込み	알파 마스크를 굽기	烘焙Alphamask	烘焙Alphamask
sSelectAlphamask	Select Alphamask	アルファマスクを選択してください	알파 마스크를 선택하십시오	选择Alphamask	選擇Alphamask
sRemoveUnused	Remove unused textures	未使用のテクスチャを外す	미사용 텍스처 해제	移除未使用的纹理	移除未使用的紋理
sConvertLite	Convert to lilToonLite	lilToonLiteに変換	lilToonLite로 변환	转换为lilToonLite	轉換為lilToonLite
sConvertMulti	Convert to lilToonMulti	lilToonMultiに変換	lilToonMulti로 변환	转换为lilToonMulti	轉換為lilToonMulti
sConvertMToon	Convert to MToon (VRM)	MToon(VRM)に変換	MToon (VRM)로 변환	转换为MToon (VRM)	轉換為MToon (VRM)
sYes	Yes	はい	Yes	Yes	Yes
sNo	No	いいえ	No	No	No
sOK	OK	OK	OK	OK	OK
sCancel	Cancel	キャンセル	Cancel	Cancel	Cancel
sComplete	Complete!	完了しました。	완료 되었습니다.	完成了。	完成了。
sCopy	Copy	コピー	복사	复制	複製
sPaste	Paste	貼り付け	붙여넣기	贴上	貼上
sPasteWithTexture	Paste (with texture)	貼り付け（テクスチャを含む）	붙여넣기 (with texture)	贴上 (with texture)	貼上 (with texture)
sReset	Reset	初期化	초기화	重置	重置
sOpenManual	Open manual	マニュアルを表示	매뉴얼 표시	开放式手册	開放式手冊
sFixNow	Fix Now	自動修正	자동 수정	自动修改	自動修改
sDialogResetUV	Reset UV Setting	UV設定の初期化	UV 설정 초기화	重置UV设置	重置UV設置
sDialogResetUVMes	Are you sure you want to reset UV setting?	UV設定を初期化しますか?	UV 설정을 초기화 하시겠습니까?	你确定要重置UV设置吗？	你確定要重置UV設置嗎？
sDialogCannotBake	Cannot run a bake	焼き込みを実行できません	버닝을 실행할 수 없습니다	不能运行烘烤	不能運行烘烤
sDialogNoNeedBake	No need to run a bake	焼き込む必要はありません	구울 필요가 없습니다	不需要运行烘烤	不需要運行烘烤
sDialogSetMainTex	You need to set texture to Main Color.	メインカラーにテクスチャを設定する必要があります。	메인 컬러에 질감을 설정해야합니다.	你需要将纹理设置为主色。	你需要將紋理設置為主色。
sDialogNoChange	You are not changing the color.	色を変更していません。	색상을 변경하지 않습니다.	你不改变颜色。	你不改變顏色。
sDialogNotUse2nd	You are not using the 2nd layer.	メインカラー2ndを利用していません。	메인 컬러 2nd를 이용하지 않습니다.	你没有使用第二层。	你沒有使用第二層。
sDialogNotUse3rd	You are not using the 3rd layer.	メインカラー3rdを利用していません。	메인 컬러 3rd를 이용하지 않습니다.	你没有使用第三层。	你沒有使用第三層。
sDialogNotUseAll	You are not changing the color and not using layers.	色の変更とメインカラー2nd・3rdを使用していません。	색상 변경과 기본 색상 2nd · 3rd를 사용하지 않습니다.	你没有改变颜色，没有使用图层。	你沒有改變顏色，沒有使用圖層。
sDialogRunBake	Run bake?	焼き込みを実行しますか?	굽기를 실행 하시겠습니까?	运行烘烤？	運行烘烤？
sDialogBakeMain	Do you want to bake main texture?	メインカラーをベイクしますか?	메인 컬러를 구워 하시겠습니까?	你要烘烤主纹理吗？	你要烘烤主紋理嗎？
sDialogBakeShadow	Do you want to bake shadow texture?	影テクスチャをベイクしますか?	그림자 텍스처를 구워 하시겠습니까?	你想烘烤阴影纹理吗？	你想烘烤陰影紋理嗎？
sDialogBakeMatCap	Do you want to bake matcap?	マットキャップをベイクしますか?	매트 캡을 구워 하시겠습니까?	你想烘烤matcap吗？	你想烘烤matcap嗎？
sDialogBakeTriMask	Do you want to bake TriMask (Mask of Matcap / Rim / Emission)?	TriMask(マットキャップ、リムライト、発光のマスク)をベイクしますか?	TriMask (매트 모자, 림 라이트 발광 마스크)를 구워 하시겠습니까?	你想烘烤TriMask（MatCap/Rim/发光的掩码）吗？	你想烘烤TriMask（MatCap/Rim/發光的掩碼）嗎？
sDialogBakeOutline	Do you want to bake outline texture?	輪郭線の色のテクスチャをベイクしますか?	윤곽선 색의 질감을 구워 하시겠습니까?	你想烘烤轮廓纹理吗？	你想烘烤輪廓紋理嗎？
sDialogGifToAtlas	Convert Gif to Atlas	Gifをアトラス化	Gif를 아틀라스 화	将Gif转换成Atlas	將Gif轉換成Atlas
sDialogTexPow2	Do you want to adjust the texture resolution to power of 2?	テクスチャ全体の解像度を2の累乗に合わせますか?	텍스처 전체 해상도를 2의 거듭 제곱에 맞게 하시겠습니까?	你想把纹理分辨率调整为2的幂吗？	你想把紋理分辨率調整為2的冪嗎？
sPresets	Presets	プリセット	프리셋	预设	預設
sPresetsNotAvailable	Presets are not available for this shader.	プリセットはこのシェーダーでは利用できません。	사전 설정이 쉐이더를 사용할 수 없습니다.	预设在此着色器中不可用。	預設在此著色器中不可用。
sPresetIsMaterial	Currently selected is not a Material.	マテリアル以外が選択されています。	머티리얼 이외를 선택하고 있습니다.	选择Material以外的	選擇Material以外的
sPresetRefresh	Refresh List	リストを更新	목록을 업데이트	刷新列表	刷新列表
sPresetSave	Save Preset	プリセットを保存	프리셋 저장	保存预设	保存預設
sPresetCategory	Category	カテゴリー	카테고리	类别	類別
sPresetCategorySkin	Skin	肌	피부	皮肤	皮膚
sPresetCategoryHair	Hair	髪	머리	头发	頭髮
sPresetCategoryCloth	Cloth	布	천	布质	布質
sPresetCategoryNature	Nature	自然物	자연물	自然	自然
sPresetCategoryInorganic	Inorganic	無機物	무기물	无机物	無機物
sPresetCategoryEffect	Effect	エフェクト	효과	效果	效果
sPresetCategoryOther	Other	その他	기타	其他	其他
sPresetName	Preset Name	プリセット名	프리셋 이름	预设名称	預設名稱
sPresetSaveTarget	Save target	保存対象	저장 대상	保存目标	保存目標
sPresetTexture	Save target texture	保存対象のテクスチャ	저장 대상의 질감	保存目标纹理	保存目標紋理
sPresetShader	Shader	シェーダー	Shader	Shader	Shader
sPresetQueue	Render Queue	Render Queue	Render Queue	Render Queue	Render Queue
sPresetStencil	Stencil	ステンシル	Stencil	Stencil	Stencil
sPresetMainTex2Outline	Apply main texture to outline	メインテクスチャを輪郭線に適用	메인 텍스처를 윤곽선에 적용	将主纹理应用于轮廓	將主紋理應用於輪廓
sPresetMain	Main Color	メインカラー	메인 컬러	主色	主色
sPresetMain2	Main Color 2nd	メインカラー2nd	메인 컬러 2nd	主色2nd	主色2nd
sPresetMain2Mask	Main Color 2nd Mask	メインカラー2ndマスク	메인 컬러 2nd 마스크	主色2nd蒙版	主色2nd蒙版
sPresetMain3	Main Color 3rd	メインカラー3rd	메인 컬러 3rd	主色3rd	主色3rd
sPresetMain3Mask	Main Color 3rd Mask	メインカラー3rdマスク	메인 컬러 3rd 마스크	主色3rd蒙版	主色3rd蒙版
sPresetShadowBorder	Shadow AO	影AO	그림자 AO	阴影AO	陰影AO
sPresetShadowBlur	Shadow Blur	影ぼかし	그림자 흐림	阴影模糊	陰影模糊
sPresetShadowStrength	Shadow Mask	影マスク	그림자 마스크	阴影蒙版	陰影蒙版
sPresetShadowColor	Shadow Color	影色	그림자 색	阴影颜色	陰影顏色
sPresetShadowColor2	Shadow Color 2nd	影色2	그림자 색 2	阴影颜色2	陰影顏色2
sPresetEmissionColor	Emission Color	発光色	발광색	发光色	發光色
sPresetEmissionMask	Emission Mask	発光マスク	발광 마스크	发光蒙版	發光蒙版
sPresetEmissionGrad	Emission Grad	発光グラデーション	발광 그라데이션	发光渐变	發光漸變
sPresetEmission2Color	Emission 2nd Color	発光2nd色	발광 2nd 색상	发光2nd颜色	發光2nd顏色
sPresetEmission2Mask	Emission 2nd Mask	発光2ndマスク	발광 2nd 마스크	发光2nd蒙版	發光2nd蒙版
sPresetEmission2Grad	Emission 2nd Grad	発光2ndグラデーション	발광 2nd 그라데이션	发光2nd渐变	發光2nd漸變
sPresetNormal	Normal Map	ノーマルマップ	노멀 맵	法线贴图	法線貼圖
sPresetNormal2	Normal Map 2nd	ノーマルマップ2nd	노멀 맵 2nd	法线贴图2nd	法線貼圖2nd
sPresetNormal2Mask	Normal Map 2nd Mask	ノーマルマップ2ndマスク	노멀 맵 2nd 마스크	法线贴图2nd蒙版	法線貼圖2nd蒙版
sPresetReflectionSmoothness	Smoothness	滑らかさ	부드러움	平滑度	平滑度
sPresetReflectionMetallic	Metallic	金属度	금속도	金属程度	金屬程度
sPresetReflectionColor	Reflection Color	反射色	반사 색상	反射颜色	反射顏色
sPresetMatcap	MatCap	マットキャップ	매트 캡	MatCap	MatCap
sPresetMatcapMask	MatCap Mask	マットキャップマスク	매트 캡 마스크	MatCap蒙版	MatCap蒙版
sPresetRim	Rim Color	リムライト色	림 라이트 색상	Rim Color	Rim Color
sPresetParallax	Parallax	視差マップ	시차 맵	视差	視差
sPresetOutlineTex	Outline Texture	輪郭線カラー	윤곽선 색상	轮廓纹理	輪廓紋理
sPresetOutlineWidth	Outline Width	輪郭線の幅	윤곽선의 폭	轮廓宽度	輪廓寬度
sPresetFurNormal	Fur Normal	ファーノーマルマップ	퍼 노멀 맵	毛皮法线	毛皮法線
sPresetFurNoise	Fur Noise	ファーノイズ	파 노이즈	毛皮噪声	毛皮噪聲
sPresetFurMask	Fur Mask	ファーマスク	퍼 마스크	毛皮蒙版	毛皮蒙版
sShaderSetting	Shader Setting (for all materials)	シェーダー設定 (全マテリアル共通)	쉐이더 설정 (전체 재료 공통)	着色器设置（用于所有材质）	著色器設置（用於所有材質）
sShaderSettingTips	You can toggle unused functions.	不要な機能を無効化できます	불필요한 기능을 비활성화 할 수 있습니다	你可以切换不使用的功能。	你可以切換不使用的功能。
sHelpShaderSetting	Features turned off here will be removed from the shader. By turning off unused features, you can reduce the size of your avatar while also reducing the load.	ここでオフにした機能はシェーダーから除去されます。不要な機能をオフにすることでアバターの容量を削減しつつ、負荷も抑えることができます。	여기에 끈 기능은 쉐이더에서 제거됩니다. 불필요한 기능을 해제하여 아바타의 용량을 줄이면서 부하도 줄일 수 있습니다.	在这里关闭的功能将从着色器中删除。通过关闭不使用的功能，你可以减少你的头像的大小，同时也可以减少负载。	在這里關閉的功能將從著色器中刪除。通過關閉不使用的功能，你可以減少你的頭像的大小，同時也可以減少負載。​​
sSettingApply	Apply	シェーダー設定を適用	Apply	Apply	Apply
sSettingCancelAutoScan	Do not auto-scan on import	インポート時に自動スキャンしない	Do not auto-scan on import	Do not auto-scan on import	Do not auto-scan on import
sSettingLock	Lock	ロック	Lock	Lock	Lock
sSettingAnimateMainUV	UV Animation & Angle	UVアニメーション&角度	UV 애니메이션 & 각도	UV动画和角度	UV動畫和角度
sSettingMainToneCorrection	Tone Correction	色調補正	색상 보정	色调校正	色調校正
sSettingMainGradationMap	Gradation Map	グラデーションマップ	그라디언트 맵	渐变映射	漸變映射
sSettingMain2nd	Main Color 2nd	メインカラー2nd	메인 컬러 2nd	主色2nd	主色2nd
sSettingMain3rd	Main Color 3rd	メインカラー3rd	메인 컬러 3rd	主色3rd	主色3rd
sSettingDecal	Decal	デカール	데칼	Decal	Decal
sSettingAnimateDecal	Decal Animation	デカールアニメーション	데칼 애니메이션	Decal动画	Decal動畫
sSettingTexLayerMask	Layer Mask	レイヤーマスク	레이어 마스크	图层蒙版	圖層蒙版
sSettingLayerDissolve	Layer Dissolve	レイヤーDissolve	Layer Dissolve	Layer Dissolve	Layer Dissolve
sSettingAlphaMask	Alpha Mask	アルファマスク	알파 마스크	Alpha蒙版	Alpha蒙版
sSettingShadow	Shadow	影	그림자	阴影	陰影
sSettingReceiveShadow	Receive Shadow	影の受け取り	그림자 받고	接收阴影	接收陰影
sSettingTexShadowBlur	Shadow Blur Mask	ぼかし量マスク	흐림 효과 마스크	阴影模糊掩码	陰影模糊掩碼
sSettingTexShadowBorder	AO Mask	AOマスク	AO 마스크	AO蒙版	AO蒙版
sSettingTexShadowStrength	Shadow Strength Mask	強度マスク	강도 마스크	阴影强度掩码	陰影強度掩碼
sSettingTexShadow1st	Shadow Color 1st Texture	影色1テクスチャ	그림자 색 1 텍스처	阴影颜色1纹理	陰影顏色1紋理
sSettingTexShadow2nd	Shadow Color 2nd Texture	影色2テクスチャ	그림자 색 2 텍스처	阴影颜色2纹理	陰影顏色2紋理
sSettingEmission1st	Emission	発光テクスチャ	발광 텍스처	发光	發光
sSettingEmission2nd	Emission 2nd	発光テクスチャ2nd	발광 텍스처 2nd	发光2nd	發光2nd
sSettingEmissionUV	Emission UV	発光テクスチャUV	발광 텍스처 UV	发光UV	發光UV
sSettingAnimateEmissionUV	EmissionUV Animation	発光テクスチャUVアニメーション	발광 텍스처 UV 애니메이션	发光UV动画	發光UV動畫
sSettingTexEmissionMask	Emission Mask	発光マスク	발광 마스크	发光蒙版	發光蒙版
sSettingEmissionMaskUV	Emission Mask UV	発光マスクUV	발광 마스크 UV	发光蒙版UV	發光蒙版UV
sSettingAnimateEmissionMaskUV	Emission Mask UV Animation	発光マスクUVアニメーション	발광 마스크 UV 애니메이션	发光蒙版UV动画	發光蒙版UV動畫
sSettingEmissionGradation	Emission Gradation	発光グラデーション	발광 그라데이션	发光Gradation	發光Gradation
sSettingNormal1st	Normal Map	ノーマルマップ	노멀 맵	法线贴图	法線貼圖
sSettingNormal2nd	Normal Map 2nd	ノーマルマップ2nd	노멀 맵 2nd	法线贴图2nd	法線貼圖2nd
sSettingTexNormalMask	Normal Map 2nd Mask	ノーマルマップ2ndマスク	노멀 맵 2nd 마스크	法线贴图2nd蒙版	法線貼圖2nd蒙版
sSettingAnisotropy	Anisotropy	異方性反射	애니소트로픽	各向异性反射	各向異性反射
sSettingReflection	Reflection	反射	반사	反射	反射
sSettingTexReflectionSmoothness	Reflection Smoothness Mask	滑らかさマスク	부드러운 마스크	反射平滑度蒙版	反射平滑度蒙版
sSettingTexReflectionMetallic	Reflection Metallic Mask	金属度マスク	금속도 마스크	反射金属程度蒙版	反射金屬程度蒙版
sSettingTexReflectionColor	Reflection Color Texture	反射色テクスチャ	반사 색상 질감	反射颜色纹理	反射顏色紋理
sSettingMatCap	MatCap	マットキャップ	매트 캡	MatCap	MatCap
sSettingMatCap2nd	MatCap 2nd	マットキャップ2nd	매트 캡 2nd	MatCap 2nd	MatCap 2nd
sSettingTexMatCapMask	MatCap Mask	マットキャップマスク	매트 캡 마스크	MatCap蒙版	MatCap蒙版
sSettingTexMatCapNormal	Custom normal map	カスタムノーマルマップ	맞춤 노멀 맵	自定义法线贴图	自定義法線貼圖
sSettingRimLight	Rim Light	リムライト	림 라이트	Rim Light	Rim Light
sSettingTexRimLightColor	Rim Light Color Texture	リムライト色テクスチャ	림 라이트 색상 질감	Rim Light颜色纹理	Rim Light顏色紋理
sSettingTexRimLightDirection	Light Direction Customize	ライト方向によるカスタマイズ	라이트 방향 의한 맞춤형	定制由光方向	定制由光方向
sSettingGlitter	Glitter	ラメ	Glitter	Glitter	Glitter
sSettingBacklight	Backlight	逆光ライト	Backlight	Backlight	Backlight
sSettingParallax	Parallax	視差マップ	시차 맵	视差	視差
sSettingPOM	[high-load] POM	[高負荷] POM	[과부하] POM	[高负荷] POM	[高負荷] POM
sSettingClippingCanceller	Distance Clipping Canceller	距離クリッピングキャンセラー	거리 클리핑 취소 기	距离剪裁取消器	距離剪裁取消器
sSettingDistanceFade	Distance Fade	距離フェード	거리 페이드	距离淡化	距離淡化
sSettingAudioLink	AudioLink	AudioLink	AudioLink	AudioLink	AudioLink
sSettingAudioLinkVertex	Vertex	頂点	정점	顶点	頂點
sSettingAudioLinkMask	Mask (R:Delay G:Band B:Strength)	マスク (R:Delay G:Band B:Strength)	Mask (R:Delay G:Band B:Strength)	Mask (R:Delay G:Band B:Strength)	Mask (R:Delay G:Band B:Strength)
sSettingAudioLinkLocal	Local	ローカル	Local	Local	Local
sSettingDissolve	Dissolve	Dissolve	Dissolve	Dissolve	Dissolve
sSettingTexDissolveNoise	Noise	ノイズ	Noise	Noise	Noise
sSettingEncryption	Encryption	暗号化	암호화	加密	加密
sSettingAnimateOutlineUV	Animate Outline UV	輪郭線UVアニメーション	윤곽선 UV 애니메이션	轮廓UV动画和角度	輪廓UV動畫和角度
sSettingTexOutlineColor	Outline Color Texture	輪郭線色テクスチャ	윤곽선 색상 질감	轮廓颜色纹理	輪廓顏色紋理
sSettingOutlineToneCorrection	Outline Tone Correction	色調補正	색상 보정	轮廓色调校正	輪廓色調校正
sSettingTexOutlineWidth	Outline Width Mask	輪郭線太さマスク	윤곽선 두께 마스크	轮廓宽度掩码	輪廓寬度掩碼
sSettingTexOutlineNormal	Outline Normal Map	輪郭線ノーマルマップ	윤곽선 노멀 맵	轮廓法线贴图	輪廓法線貼圖
sSettingTexFurNormal	Fur Normal Map	ファーノーマルマップ	퍼 노멀 맵	毛皮法线贴图	毛皮法線貼圖
sSettingTexFurMask	Fur Mask	ファーマスク	퍼 마스크	毛皮蒙版	毛皮蒙版
sSettingTexFurLength	Fur Length Mask	ファー長さマスク	퍼 길이 마스크	毛皮长度蒙版	毛皮長度蒙版
sSettingTessellation	Tessellation (Extremely high load)	テッセレーション (非常に高負荷)	테셀레이션 (매우 높음)	Tessellation (极高的负荷)	Tessellation (極高的負荷)
sManualURL	https://github.com/lilxyzw/lilToon/blob/master/Assets/lilToon/MANUAL.md	https://github.com/lilxyzw/lilToon/blob/master/Assets/lilToon/MANUAL_JP.md	https://github.com/lilxyzw/lilToon/blob/master/Assets/lilToon/MANUAL.md	https://github.com/lilxyzw/lilToon/blob/master/Assets/lilToon/MANUAL.md	https://github.com/lilxyzw/lilToon/blob/master/Assets/lilToon/MANUAL.md
sAnchorTerms	#terms	#登場する用語	#terms	#terms	#terms
sAnchorBaseSetting	#base-setting	#基本設定	#base-setting	#base-setting	#base-setting
sAnchorUVSetting	#uv-setting	#uv設定	#uv-setting	#uv-setting	#uv-setting
sAnchorColor	#color	#色設定	#color	#color	#color
sAnchorMainColor	#main-color	#基本色設定	#main-color	#main-color	#main-color
sAnchorMainColor1	#main-color-1	#メインカラー	#main-color-1	#main-color-1	#main-color-1
sAnchorMainColor2	#main-color-2nd--3rd	#メインカラー2nd3rd	#main-color-2nd--3rd	#main-color-2nd--3rd	#main-color-2nd--3rd
sAnchorAlphaMask	#alpha-mask	#アルファマスク	#alpha-mask	#alpha-mask	#alpha-mask
sAnchorShadow	#shadow	#影設定	#shadow	#shadow	#shadow
sAnchorEmission	#emission	#発光設定	#emission	#emission	#emission
sAnchorNormalReflection	#normal-map--reflection	#ノーマルマップ光沢設定	#normal-map--reflection	#normal-map--reflection	#normal-map--reflection
sAnchorNormalMap	#normal-map	#ノーマルマップ設定	#normal-map	#normal-map	#normal-map
sAnchorAnisotropy	#anisotropy	#異方性反射	#anisotropy	#anisotropy	#anisotropy
sAnchorReflections	#reflections	#光沢設定	#reflections	#reflections	#reflections
sAnchorReflection	#reflection	#反射	#reflection	#reflection	#reflection
sAnchorMatCap	#matcap	#マットキャップ	#matcap	#matcap	#matcap
sAnchorRimLight	#rim-light	#リムライト	#rim-light	#rim-light	#rim-light
sAnchorGlitter	#glitter	#ラメ	#glitter	#glitter	#glitter
sAnchorBacklight	#backlight	#逆光ライト	#backlight	#backlight	#backlight
sAnchorGem	#gem	#宝石	#gem	#gem	#gem
sAnchorAdvanced	#advanced	#拡張設定	#advanced	#advanced	#advanced
sAnchorOutline	#outline	#輪郭線設定	#outline	#outline	#outline
sAnchorParallax	#parallax	#視差マップ	#parallax	#parallax	#parallax
sAnchorDistanceFade	#distance-fade	#距離フェード	#distance-fade	#distance-fade	#distance-fade
sAnchorAudioLink	#audiolink	#audiolink	#audiolink	#audiolink	#audiolink
sAnchorDissolve	#dissolve	#dissolve	#dissolve	#dissolve	#dissolve
sAnchorEncryption	#encryption	#暗号化	#encryption	#encryption	#encryption
sAnchorStencil	#stencil	#ステンシル設定	#stencil	#stencil	#stencil
sAnchorRendering	#rendering	#レンダリング設定	#rendering	#rendering	#rendering
sAnchorTessellation	#tessellation	#テッセレーション	#tessellation	#tessellation	#tessellation
sAnchorRefraction	#refraction	#屈折設定	#refraction	#refraction	#refraction
sAnchorFur	#fur	#ファー設定	#fur	#fur	#fur
sAnchorOptimization	#optimization	#最適化	#optimization	#optimization	#optimization
sAnchorShaderSetting	#shader-setting	#シェーダー設定	#shader-setting	#shader-setting	#shader-setting
sReadmeURL	https://github.com/lilxyzw/lilToon/blob/master/Assets/lilToon/README.md	https://github.com/lilxyzw/lilToon/blob/master/Assets/lilToon/README_JP.md	https://github.com/lilxyzw/lilToon/blob/master/Assets/lilToon/README.md	https://github.com/lilxyzw/lilToon/blob/master/Assets/lilToon/README.md	https://github.com/lilxyzw/lilToon/blob/master/Assets/lilToon/README.md
sReadmeAnchorProblem	#common-problems	#よくあるトラブル	#common-problems	#common-problems	#common-problems
sWhenInTrouble	When in trouble...	困ったときは…	곤란할 때는...	遇到麻烦时...	遇到麻煩時...
sCommonProblems	Common Problems	よくあるトラブル	일반적인 문제	常见问题	常見問題
sUtilGif2AtlasPow2	Do you want to adjust the texture resolution to power of 2?	テクスチャの解像度を2の累乗に合わせますか？	텍스처의 해상도를 2의 거듭 제곱에 맞게 싶으십니까?	您想将纹理分辨率匹配到 2 的幂吗？	您想將紋理分辨率匹配到 2 的冪嗎？
sUtilDotTexRedRatio	Select a reduction ratio	縮小率を選択してください。	축소 비율을 선택하십시오.	请选择一个缩小比例。	請選擇一個縮小比例。
sUtilShaderNotFound	Shader is not found.	シェーダーが見つかりません。	쉐이더가 없습니다.	未找到着色器。	未找到著色器。
sUtilShaderSettingLocked	ShaderSetting is locked.	シェーダー設定がロックされています。	쉐이더 설정이 잠겨 있습니다.	着色器设置被锁定。	著色器設置被鎖定。
sUtilShaderSettingNotFound	ShaderSetting is not found.	シェーダー設定が見つかりません。	쉐이더 설정을 찾을 수 없습니다.	未找到着色器设置。	未找到著色器設置。
sUtilSelectGameObject	Select gameobject before run.	実行前にオブジェクトを選択してください。	실행 전에 개체를 선택하십시오.	请在执行前选择对象。	請在執行前選擇對象。
sUtilSelectPresets	Select presets	プリセットを選択してください。	사전 설정을 선택하십시오.	请选择一个预设。	請選擇一個預設。
sUtilMaterialAlreadyExist	Materials may already exist. Are you sure you want to overwrite it?	マテリアルが既に存在している可能性があります。上書きしてもよろしいですか？	재료가 이미있을 수 있습니다. 덮어 하시겠습니까?	该材料可能已经存在。 您确定要覆盖它吗？	該材料可能已經存在。 您確定要覆蓋它嗎？
sUtilImportTargetFound	Material or animation found. Do you want to scan it?	マテリアルまたはアニメーションが見つかりました。スキャンしますか？	Material 나 Animation이 발견되었습니다. 스캔 하시겠습니까?	找到了Material或Animation。 您要扫描吗？	找到了Material或Animation。 您要掃描嗎？
sUtilNewFeatureFound	A shader setting feature that is currently turned off has been founded in an imported material or animation. Do you want to enable the missing features?	インポートしたマテリアルやアニメーションから現在オフになっているシェーダー設定の項目が見つかりました。不足している項目を有効化しますか？	임포트된 머티리얼이나 애니메이션에서 현재 꺼져 있는 셰이더 설정 항목을 발견했습니다.부족한 기능을 활성화 하시겠습니까?	从导入的Material和Animation中发现了当前关闭的Shader设定项目。启用不足的功能吗？	從導入的Material和Animation中發現了當前關閉的Shader設定項目。啟用不足的功能嗎？
